metro,metro2,country,rank_300,Nominal GDP 2015,Nominal GDP per capita 2015,Output per worker 2015,Compound growth real GDP 2000-2015,Compound growth real GDP per capita 2000-2015,Compound growth output per worker 2000-2015,Traded Sector productivity differential 2015,Stock of foreign direct investment per capita 2009-2015,Stock of foreing direct onvestment 2009-2015,Share of publications in top 10 percent 2010-2013,Patents per capita 2008-2012,Stock of venture capital per capita 2006-2015,Share of population with tertiary Education 2015 or most recent year available,Aviation passengers 2014,Download Speeds 2015,label_cluster,cluster name
Nanjing,Nanjing,China,55,271933.70000,32982.85000,32.88208,0.12546,0.10321,0.06678,2.55733,1386.05500,11427.60400,0.08477,0.41236,0.04661,22.10000,27263988.00000,34.48597,3,Emerging gateways
Nantong,Nantong,China,103,169781.30000,23079.09000,50.35135,0.12659,0.12798,0.06474,4.35992,404.76080,2977.62300,,0.00051,0.00630,6.00000,2049895.00000,24.96244,1,Factory China
New York,"New York-Newark-Jersey City, NY-NJ-PA",USA,2,1492242.00000,73938.13000,141.24020,0.01575,0.01160,0.01084,0.47379,1319.00800,26620.62900,0.17828,0.76192,1.70663,39.35655,192000000.00000,43.04864,5,Global Giants
Ningbo,Ningbo,China,64,233000.00000,30165.72000,21.18365,0.11134,0.09370,0.01694,1.78515,1601.87100,12372.85300,,0.00052,0.00000,11.40000,18489430.00000,20.69105,3,Emerging gateways
Orlando,"Orlando-Kissimmee-Sanford, FL",USA,116,125897.90000,52740.09000,98.21148,0.02512,0.00047,0.00892,0.01674,1231.72200,2940.28930,0.12305,0.34403,0.28964,34.96596,67753816.00000,32.16544,6,American Middleweights
Osaka-Kobe,Osaka,Japan,7,680997.40000,36534.98000,86.50549,0.00449,0.00414,0.00589,0.04925,174.29800,3248.84570,0.08944,1.67224,0.00144,38.40000,53314064.00000,61.44961,5,Global Giants
Paris,Paris,France,6,818522.10000,65354.20000,136.41320,0.01331,0.00733,0.00981,0.32229,1608.66500,20147.56600,0.15635,1.14016,0.42306,44.00000,101800000.00000,59.05003,5,Global Giants
Perth,Perth,Australia,99,139281.50000,66959.04000,134.28430,0.05623,0.03046,0.02658,0.64567,2981.05300,6200.88820,0.12325,0.47474,0.02181,29.70000,17835108.00000,11.43873,7,International Middleweights
Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",USA,26,363643.70000,59909.59000,114.70290,0.01034,0.00602,0.00853,0.11157,416.63300,2528.91020,0.16780,1.13984,1.04128,36.32897,45106992.00000,39.08980,2,Knowledge Centers
Phoenix,"Phoenix-Mesa-Scottsdale, AZ",USA,54,214809.00000,46957.61000,101.03310,0.02245,-0.00011,0.00960,-0.09749,587.64800,2688.21390,0.13502,0.56130,0.46211,33.32612,66025480.00000,34.84627,6,American Middleweights
Pittsburgh,"Pittsburgh, PA",USA,96,141339.10000,60066.46000,108.69910,0.01300,0.01513,0.01243,-0.01073,210.02530,494.19904,0.16049,0.83750,0.82892,38.23161,15476989.00000,28.59046,6,American Middleweights
Portland,"Portland-Vancouver-Hillsboro, OR-WA",USA,82,159218.70000,66640.22000,132.01470,0.03935,0.02484,0.03103,0.31698,881.83790,2106.91190,,1.62733,0.96710,38.82481,29091156.00000,36.37465,2,Knowledge Centers
