metro,label_cluster,cluster name,gmm14_2015_nomgdp,gdp_pc_nom2015,nom_prod15,compound_growth_realgdp15,compound_growth_real_gdp_pc15,compound_growth_producti_15,trade_prod_diff,fdipc15,stockvalue15,share10pc13,patentspc12,vcpc15,ed15,pass15,down15
Karlsruhe,7,International Middleweights,159066.2,52050.46,95.7077015644,0.012328,0.0091981,0.0053766,0.0917882,590.9145,1805.8346,0.1484536,2.124187,0.1684976,30.2,1219269,33.55956
Katowice-Ostrava,3,Emerging gateways,136218,27199.54,66.2603366086,0.0291508,0.0324671,0.0255357,0.1942871,928.3159,4649.0991,,0.0329969,0.0002947,27.7,3104006,27.78888
Kitakyushu-Fukuoka,7,International Middleweights,194550,34969.63,73.3680280575,0.0098862,0.0090377,0.0092947,-0.0099711,104.1631,579.50098,0.0743716,0.2998979,0.0026217,33.1,18733280,25.21059
Köln- Düsseldorf,7,International Middleweights,548378.9,47735.34,92.4831604688,0.0082877,0.0084788,0.0041499,0.0602248,811.4726,9322.1162,0.1427436,0.9336272,0.0444621,26.4,45553040,32.90224
London,5,Global Giants,831100,55947.49,94.847360913,0.023701,0.0132587,0.0112699,0.3035891,5097.651,75725.602,0.1769446,0.4349165,0.8227888,49.5,178000000,30.57343
Los Angeles,5,Global Giants,927561.8,69532.02,158.1647293133,0.0190324,0.0140403,0.0155046,0.4057219,838.7677,11189.219,0.1880657,0.7955218,1.675076,33.91684,140700000,47.17487
Madrid,7,International Middleweights,315507.1,47905,98.4053084648,0.0202738,0.00782,0.007657,0.2013845,1758.547,11581.964,0.0964725,0.3182207,0.4562253,47.3,43931620,34.61652
Melbourne,7,International Middleweights,197774.3,43689.65,86.5343688471,0.0292576,0.0109948,0.0078109,-0.1777158,2807.655,12709.69,0.1426107,0.5346559,0.0836206,36,42607660,17.9162
Mexico City,3,Emerging gateways,485620.6,23016.83,52.8072335012,0.0218169,0.0108852,0.0054893,0.4254152,533.1594,11248.864,0.0621047,0.0190508,0.0141419,20.9,36442368,16.43582
Miami,6,American Middleweights,282513.9,46989.07,110.8884771934,0.0165115,0.0044392,0.0067431,-0.0469136,1254.983,7545.376,0.1432323,0.4201212,0.4786745,34.50502,99734768,30.38176
Milan,7,International Middleweights,380609,49286.36,105.3822299748,0.0046577,-0.0025943,-0.0007306,0.1810463,1264.782,9767.1533,0.1212778,0.5224926,0.0448291,19.2,46922408,12.19301
Minneapolis,2,Knowledge Centers,227417.3,64523.19,115.9824866508,0.0158588,0.0059889,0.0112968,-0.098534,438.3775,1545.098,0.1658519,2.394704,1.075263,43.29288,49663344,25.47022
Monterrey,3,Emerging gateways,140512,31906.27,72.2129715284,0.0303713,0.0136109,0.0082296,0.7600703,2196.434,9672.876,,0.0305428,0.015819,22.8,9956207,16.74977
Montreal,7,International Middleweights,157733.7,38871.73,77.369745426,0.0152915,0.0052298,0.0029146,-0.203916,2433.322,9873.9346,0.1331307,0.5417711,0.598246,32.2,19934948,18.90094
Moscow,4,Asian Anchors,749685.7,61482.4,105.9746261061,0.0335881,0.0218771,0.0120702,1.44908,1482.14,18072.471,0.0800455,0.2126261,0.2699553,42.2,62402240,31.66323
Mumbai,3,Emerging gateways,221191.9,10147.07,26.5272177782,0.0777053,0.0620499,0.0551915,0.4253812,817.6447,17823.508,0.0801734,0.054495,0.239716,8.2,9235294,6.450785
Munich,7,International Middleweights,265693.4,66738.69,111.9746291301,0.0148569,0.0047165,0.0042028,0.2855822,1147.97,4570.1826,0.1611042,1.885552,0.3991555,34.1,45171500,25.97442
Nagoya,7,International Middleweights,377074.7,41672.16,81.199599466,0.0108802,0.0078246,0.0115303,0.0365376,643.5577,5823.2964,0.080455,1.844008,0.0003246,34.6,14740747,86.93176
Nanjing,3,Emerging gateways,271933.7,32982.85,78.1212150811,0.1254618,0.1032084,0.066784,2.557334,1386.055,11427.604,0.0847738,0.4123585,0.0466095,22.1,27263988,34.48597
Nantong,1,Factory China,169781.3,23079.09,109.575911297,0.1265884,0.1279771,0.0647424,4.359923,404.7608,2977.623,,0.000507,0.006299,6,2049895,24.96244
