metro,metro2,country,rank_300,pop_2015,tot_emp2015,2015_nomgdp,2015_realgdp,gdp_pc_real2015,productivity2015,compound_growth_realgdp15,compound_growth_real_gdp_pc15,compound_growth_emp15,compound_growth_pop15,fdi_pc_09-15,share_publications_top_10_10-13,patents_pc_08-12,venture_capital_pc06-15,passengers_pc_2014,download_speed2015,share_tertiary_education2015,label_cluster
Sao Paulo,Sao Paulo,Brazil,15,21174.6,10162.9,579472.8,343975,16244.7,33.84615,0.0243506,0.0145641,0.0224919,0.009646,1651.003,0.0705256,0.0714369,0.0713044,3127.926,24.45513,13.3,3
Shenzhen,Shenzhen,China,23,10816,7731.4,490761.2,213311.3,19721.83,27.59026,0.1303763,0.0992377,0.082686,0.0283274,1043.767,,2.994811,0.1085344,5739.943,29.12005,14.9,3
Tianjin,Tianjin,China,20,15646.1,8857.8,477807.7,231621.6,14803.79,26.14889,0.1412908,0.1078089,0.0407004,0.0302235,1364.637,0.09795,0.0460404,0.0013291,1393.859,16.63418,17,3
Warsaw,Warszawa,Poland,94,2900.6,1709.5,164068.4,85242.4,29387.85,49.86394,0.0424043,0.0377324,0.0131106,0.004502,3193.07,0.0893428,0.1148922,0.0142491,4796.538,26.96402,38.6,3
Wuhan,Wuhan,China,45,10260.8,4310.04,323517.1,132113.3,12875.54,30.65245,0.1299736,0.1116565,0.0295531,0.0164774,1369.961,0.0946679,0.0712995,0.0010133,2764.608,17.17794,19.7,3
Xi'an,Xian,China,109,8606.4,2549.42,160578.4,76135.6,8846.394,29.86389,0.1289745,0.1188926,0.0306485,0.0090107,1548.357,0.0787484,0.0725331,0.0295637,5297.562,17.68105,18.6,3
Beijing,Beijing,China,11,21875.5,12034.1,663589.9,282241.2,12902.16,23.45345,0.1023543,0.0679109,0.0364821,0.0322531,1730.531,0.0952797,0.5251154,0.7886127,6358.241,30.66895,30.8,4
Hong Kong,Hong Kong,Hong Kong,16,7295,3798,413998.7,263883.5,36173.2,69.47959,0.0368508,0.0319069,0.0113313,0.004791,5699.158,0.1224769,0.2490692,0.0970796,10330.4,103.0178,27.7,4
Moscow,Moscow,Russia,10,12193.5,7074.2,749685.7,280344.5,22991.31,39.62915,0.0335881,0.0218771,0.0212613,0.0114603,1482.14,0.0800455,0.2126261,0.2699553,5148.232,31.66323,42.2,4
Seoul-Incheon,Seoul,South Korea,4,25094.6,12993.4,903465.7,546031.4,21758.92,42.02375,0.0410037,0.0299872,0.0187929,0.0106957,704.987,0.0747312,1.40417,0.0470779,3501.979,63.26759,40.6,4
Shanghai,Shanghai,China,8,24767.9,11600.5,809506.6,348135.4,14055.91,30.01038,0.1011184,0.0699048,0.025835,0.0291742,3187.226,0.0928173,0.2571439,0.2267392,6001.858,30.34929,23.7,4
Singapore,Singapore,Singapore,21,5546.1,3642.9,468087.2,269181.1,48535.2,73.89198,0.051835,0.0296438,0.0366719,0.0215523,14723.26,0.1390525,0.6249735,0.4025427,10586.78,105.7935,51.5,4
London,London,United Kingdom,5,14855,8762.5,831100,866566.9,58335.03,98.89494,0.023701,0.0132587,0.0122926,0.0103057,5097.651,0.1769446,0.4349165,0.8227888,12157.14,30.57343,49.5,5
Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",USA,3,13340.07,5864.53,927561.8,841081.9,63049.29,143.4185,0.0190324,0.0140403,0.003474,0.004923,838.7677,0.1880657,0.7955218,1.675076,10611.71,47.17487,33.91684,5
New York,"New York-Newark-Jersey City, NY-NJ-PA",USA,2,20182.3,9424.37,1492242,1331100,65953.84,141.2402,0.0157487,0.0115981,0.0048518,0.0041031,1319.008,0.1782806,0.7619203,1.706632,9556.969,43.04864,39.35655,5
Osaka-Kobe,Osaka,Japan,7,18639.6,8894.7,680997.4,769440.4,41279.88,86.50549,0.0044931,0.0041412,-0.0013854,0.0003504,174.298,0.0894351,1.672237,0.0014399,2857.116,61.44961,38.4,5
Paris,Paris,France,6,12524.4,6533.2,818522.1,891214.5,71158.26,136.4132,0.0133073,0.0073293,0.0034614,0.0059345,1608.665,0.156345,1.140155,0.4230623,8167.884,59.05003,44,5
Tokyo,Tokyo,Japan,1,37004.3,19503.2,1623904,1787972,48317.96,91.67584,0.0089456,0.0038696,0.0055121,0.0050564,420.7145,0.087769,2.485965,0.0174144,3804.902,63.75745,45.6,5
Charlotte,"Charlotte-Concord-Gastonia, NC-SC",USA,107,2426.363,1121.91,131636.3,118142.1,48691.01,105.3044,0.0254763,0.0025556,0.011374,0.0228622,1319.311,,0.4399647,0.1700518,22550.36,19.01793,35.10254,6
Cincinnati,"Cincinnati, OH-KY-IN",USA,122,2157.719,1077.59,115551.7,104143.7,48265.66,96.64504,0.0113142,0.0061947,0.0027146,0.0050881,1165.344,0.1428541,1.551847,0.3483701,4511.521,23.58807,34.5304,6
Cleveland,"Cleveland-Elyria, OH",USA,117,2060.81,1057.23,117493.1,106027.5,51449.41,100.288,0.0041618,0.0069251,-0.0055801,-0.0027442,385.7591,0.1634747,1.118006,0.5270177,6430.329,19.79585,32.95624,6
Columbus,"Columbus, OH",USA,126,2021.632,1057.31,113874.5,102878.9,50889.05,97.30251,0.0162751,0.0038929,0.0070889,0.0123342,448.2268,0.1516087,0.6710542,0.3113148,6281.442,19.41315,35.36381,6
Detroit,"Detroit-Warren-Dearborn, MI",USA,53,4302.043,1952.81,218080.4,200597.8,46628.48,102.7226,-0.001529,0.0008068,-0.0085571,-0.0023339,1107.832,0.1303281,0.7331839,0.1772412,10594.84,29.23072,33.21073,6
Indianapolis,"Indianapolis-Carmel-Anderson, IN",USA,120,1988.817,1032.76,114936.4,102717.3,51647.43,99.459,0.0162797,0.0042698,0.0082022,0.0119589,890.3418,0.1413878,1.118857,0.5792491,7074.181,26.20728,33.2725,6
Kansas City,"Kansas City, MO-KS",USA,128,2087.471,1066.7,110456.3,100409.7,48101.14,94.13119,0.0126705,0.0033796,0.0042136,0.0092596,667.4676,0.1210558,0.3022557,0.4743968,9368.709,54.94563,36.89778,6
Miami,"Miami-Fort Lauderdale-West Palm Beach, FL",USA,41,6012.331,2547.73,282513.9,255910.7,42564.3,100.4465,0.0165115,0.0044392,0.009703,0.0120189,1254.983,0.1432323,0.4201212,0.4786745,16798.57,30.38176,34.50502,6
Orlando,"Orlando-Kissimmee-Sanford, FL",USA,116,2387.138,1169.07,125897.9,114816.1,48097.8,98.21148,0.025122,0.0004682,0.0160597,0.0246422,1231.722,0.1230538,0.3440251,0.2896351,29119.77,32.16544,34.96596,6
Phoenix,"Phoenix-Mesa-Scottsdale, AZ",USA,54,4574.531,1939.46,214809,195949.7,42834.92,101.0331,0.0224487,-0.0001096,0.0127272,0.0225608,587.648,0.1350182,0.5613018,0.4621078,14716.34,34.84627,33.32612,6
Pittsburgh,"Pittsburgh, PA",USA,96,2353.045,1177.43,141339.1,127985.5,54391.45,108.6991,0.0130049,0.0151333,0.0005699,-0.0020966,210.0253,0.1604946,0.8374996,0.8289219,6563.341,28.59046,38.23161,6
Riverside,"Riverside-San Bernardino-Ontario, CA",USA,87,4489.159,1387.24,167864.2,151180.8,33676.86,108.9796,0.026237,0.0049288,0.0188649,0.0212037,798.0482,0.1655852,0.1747819,0.0431788,2547.986,40.5307,23.75322,6
Sacramento,"Sacramento--Roseville--Arden-Arcade, CA",USA,105,2274.194,935.18,126102.6,113724.8,50006.64,121.6074,0.0147918,-0.0006118,0.008322,0.0154131,765.1749,0.1579029,0.4800178,0.328988,7649.698,29.36122,35.03067,6
San Antonio,"San Antonio-New Braunfels, TX",USA,130,2384.075,1031.04,113909.8,103645.8,43474.2,100.5254,0.0301366,0.0079572,0.0166887,0.0220043,1038.4,0.1345698,0.2216854,0.2857394,6818.954,21.86855,28.9324,6
St. Louis,"St. Louis, MO-IL",USA,95,2811.588,1370.29,146024.4,131412.3,46739.54,95.90109,0.0067828,0.0035414,0.0004874,0.00323,328.2709,0.1863364,0.6461431,0.3510059,8330.805,39.02562,36.46564,6
Tampa,"Tampa-St. Petersburg-Clearwater, FL",USA,101,2975.225,1278.86,140263.4,127625.3,42896.02,99.79614,0.0170763,0.0027239,0.0055903,0.0143135,299.5901,0.132733,0.2880904,0.3473226,11907.92,38.74167,34.22637,6
Brussels,Belgian central,Belgium,43,5539.6,2462.5,290522.4,306550.2,55337.96,124.4874,0.0144138,0.0062355,0.0080364,0.0081277,2439.771,0.1531719,0.7488658,0.2403246,4655.967,34.96929,43.7,7
Copenhagen-Malmö,Oresund,Denmark,106,3044.6,1565.7,151041.1,187399.9,61551.57,119.6908,0.0143891,0.0070327,0.006283,0.0073051,1438.511,0.1486185,2.05861,0.7563272,11044.36,47.49415,39.5,7
Frankfurt am Main,Rhein-Main,Germany,46,4482.6,2533.1,270396.2,272810.9,60859.97,107.6984,0.0068636,0.0027293,0.0054981,0.0041231,1874.629,0.1398894,1.502952,0.0857517,13134.79,32.26921,32.1,7
Hamburg,Hamburg,Germany,78,3188.2,1789.8,186505.6,185095.3,58056.36,103.4167,0.0098923,0.0055557,0.00827,0.0043127,898.0627,0.151684,0.7717634,0.0679883,6953,33.28426,28.7,7
Karlsruhe,Rhein-Neckar,Germany,97,3056,1662,159066.2,160617.5,52558.08,96.6411,0.012328,0.0091981,0.0069143,0.0031014,590.9145,0.1484536,2.124187,0.1684976,402.8244,33.55956,30.2,7
Köln- Düsseldorf,Rhein-Ruhr,Germany,12,11487.9,5929.5,548378.9,552371.9,48082.93,93.15657,0.0082877,0.0084788,0.0041207,-0.0001895,811.4726,0.1427436,0.9336272,0.0444621,3988.429,32.90224,26.4,7
Milan,Milano,Italy,34,7722.4,3611.7,380609,378055.5,48955.7,104.6752,0.0046577,-0.0025943,0.0053922,0.0072709,1264.782,0.1212778,0.5224926,0.0448291,6109.768,12.19301,19.2,7
Munich,Munchen-Augsburg,Germany,48,3981.1,2372.8,265693.4,267375.4,67161.19,112.6835,0.0148569,0.0047165,0.0106095,0.0100927,1147.97,0.1611042,1.885552,0.3991555,11544.55,25.97442,34.1,7
Nagoya,Nagoya,Japan,22,9048.6,4643.8,377074.7,421980.7,46634.92,90.8697,0.0108802,0.0078246,-0.0006427,0.0030319,643.5577,0.080455,1.844008,0.0003246,1631.083,86.93176,34.6,7
Rome,Roma,Italy,76,4467.8,2126.6,207501.8,206796.5,46285.98,97.24277,0.0050323,-0.0057934,0.0133146,0.0108887,923.3348,0.1059798,0.2366463,0.007704,11521.09,11.27159,23.3,7
Rotterdam-Amsterdam,Randstad Holland,Netherlands,31,7146.2,4036,397398.5,428426,59951.58,106.1511,0.012408,0.0068326,0.0045698,0.0055376,2823.295,0.1670331,0.7574266,0.2714213,7948.125,47.00074,36.8,7
Stuttgart,Stuttgart,Germany,83,3165.6,1809,193142.5,194432.9,61420.55,107.4809,0.013101,0.0092426,0.0058965,0.0038231,641.7072,0.136384,3.00956,0.3622357,4362.165,34.21806,31.5,7
Vienna-Bratislava,Wien-Bratislava,Austria,62,3822.3,2001.4,200062,190758.2,49906.65,95.31238,0.0150698,0.0082015,0.0101919,0.0068125,1434.592,0.1325759,0.3650784,0.1498276,7588.672,40.76015,27.1,7
Athens,Athinai,Greece,102,3844.4,1550.1,138715,122519.8,31869.68,79.03993,0.0008294,0.0019521,-0.001906,-0.0011205,473.8181,0.1043665,0.086462,0.0115715,4725.216,9.895835,38.8,7
Barcelona,Barcelona,Spain,72,4710.5,2146.5,197889,178089.2,37806.86,82.96725,0.0115118,0.0026058,0.005421,0.0088829,3403.103,0.1229243,0.4748735,0.2589878,10771.39,40.64551,37,7
Berlin,Berlin,Germany,84,4313.5,2212.4,185910.3,183234.7,42479.36,82.82169,0.0115513,0.007973,0.0082971,0.00355,2031.977,0.1447444,0.9026901,1.171983,9996.964,27.04091,36.3,7
Birmingham (UK),Birmingham,United Kingdom,112,3868.7,1871.4,132439.1,127390.6,32928.53,68.07235,0.0120266,0.005843,0.0029766,0.0061476,3532.031,0.1543742,0.5176862,0.041918,2775.727,32.4005,32.2,7
Kitakyushu-Fukuoka,Fukuoka,Japan,58,5563.4,2651.7,194550,219740.1,39497.45,82.86763,0.0098862,0.0090377,0.000586,0.0008408,104.1631,0.0743716,0.2998979,0.0026217,3364.575,25.21059,33.1,7
Madrid,Madrid,Spain,42,6586.1,3206.2,315507.1,292544.5,44418.47,91.24337,0.0202738,0.00782,0.0125209,0.0123571,1758.547,0.0964725,0.3182207,0.4562253,6672.989,34.61652,47.3,7
Melbourne,Melbourne,Australia,65,4526.8,2285.5,197774.3,202151,44656.49,88.44936,0.0292576,0.0109948,0.0212805,0.0180642,2807.655,0.1426107,0.5346559,0.0836206,9608.005,17.9162,36,7
